index,query
1965,"i live in east falls, in philadelphia. how far away is the closest store to me?"
1375,i need a bomber jacket that matches my new convertable. please show all the leather jackets that you have
932,exactly when will my item be delivered?
1672,i am out of town for next few dayas. can my product be deloivered to a new address location?
1674,i have added wrong address
10,is it possible to cancel this order at all? i'm not sure i want to at this point but just wondering
1087,that be all. how long does it take for the warehouse to receive the phone? i believe it s=was returned on the 26th of september
971,how long after an order is processed does it get shipped?
240,where do i find the cancel button on your site?
887,i cant be here to sign for my delivery after the 8th. can i expect my order to arrive before then?
108,i recently cancelled an order and need to know if this amount has been charged to my account.
1358,can i please show my t-shirts?
592,i would like to update my order to choose a custom monogram.
75,hello i need to cancel phone # 727-239-2090
1484,have you gotten any of the apple watch series 3 with cellular in stock?
1413,"there are too many items on the screen and i do not want to look through them all, is there any way to limit the number i see by just looking at dresses"
482,i texted from my device. i dont have the apple watch yet
2107,when does your store on queen's road open? i just wanted to drop in while on my way to work.
1986,when do you open in the morning?
2159,when do you open on sunday mornings?
1499,when will this product be available?
2231,why is your store not open yet? when the hell will it be opened?
464,if i order it how long will the iphone 8 plus 64 go get here in if you don&rsquo;t mind
1089,trying to check on my order status for the upgrade phone i ordered sunday for the line 8154
265,how do i cancel an order i placed for scheduled home delivery?
344,his is really annoying to check my order status can you really update me about it? / its been 15 days since i have promised a quick delivery but have not received the device
1953,how many stores do you have intexas?
2114,what time do you close your store by evening?
2213,what are your store hours ?
138,will there be a penalty for cancelling my order?
1246,"i like to saw your sneakers now, so can you show your sneakers now?"
774,remove last item in cart.
810,check status of order?
287,how come was i charged for a cancelled order?
2042,when do your stores normally open?
2162,"i'm in manchester, what are the store hours in that city?"
39,i found a cheaper price somewhere else after placing my order. can you cancel the order before it ships?
1877,if i order early enough in the day
399,i have orederd phone two days back
500,what about the device? does the warehouse have it or is it lost?
960,last time i ordered a cell phone from you it took over two week. i have been with with your cell phone company for almost 20 years
1530,im in need of a particular product listed on your website; may i order that by phone with you?
1086,thanks for responding. i just saw that my watch shipped today. can i assume it will arrive tomorrow? no tracking info quite yet. just that the label was processed
2192,what times are you open on the weekend?
466,it says the order has encountered a error
21,what is the companys order cancellation policy?
1044,hi could you check on our order s036041721 ?
1983,what are your hours through out the week?
1819,what is your cheapest delivery rates for your shipping?
1735,i accidentally gave the wrong shipping address. is it possible to change the address to which my order will be sent?
919,when is delivery due from you?
1967,you're where?
2032,"what are your east coast store hours, please?"
923,what day will my order arrive?
1045,hi i tried to cancel an order earlier but told it couldn&rsquo;t be canceled. does that mean it has shipped already?
1601,can i explain review?
1648,i need to change my shipping address.
1094,will this cellular device be ship to our house ?
2130,at what time do your stores open in the morning?
84,can i cancel an order i just placed?
1354,available in size 10
1540,how i can get new phone from tmobile
2012,can you please tell me what time your store is open for business?
351,tell me the status of my order that i ordered two weeks ago but not received yet
471,so i won't be receiving my phone today? over the phone the ordered was placed and said to ship out on thursday(yesterday) and delivered today
1757,can i change my color selection?
841,can you please tell me when to expect my order to arrive?
8,i tried to cancel order before delivery but phone was delivered. i did not accept it.
2014,what are your hours
413,why is my order delayed again?
1930,how can i identify that?
484,do i get a discount since ordering my phone is delayed?
716,i was just looking at the bras and don't want to buy one. please get them out of the cart.
691,hi
1825,whats the different delivery options available?
1420,men's shoes
322,can you please help me; i would like an update on my parcel as it has failed to arrive for the third time!
944,i need to see when my new phone is going to be here
27,please cancel the order that i placed last week.
2195,what's your opening and closing time?
1614,what are the reviews like for these earrings
1924,list of stores in dallas
942,when can i expect to take delivery of my last order?
1531,where can i get help finding a new phone
768,how to change quantity from 1 to 2 of pair of sock in my cart?
1268,i'm looking for plus size pants.
17,i bought the wrong item and would like to cancel my order.
1612,show me the reviews of product
314,can you tell me why my order is
836,can you tell me why my order is still pending and hasnt been despatched yet and when i can expect it ?
1542,how can i go about obtaining the phone i want if you are out of stock?
1349,when is the release date?
134,oh ok thanks. any fees for cancelling my service?
1780,i want my product to be delivered tomorrow itself
1034,can u help me locate this phone
735,can i make changes to my current order?
975,how long will it take for my order to be delivered
392,can you provide more information on the restock of the new phone and what day my order might ship?
1642,has this item received very many reviews yet
82,am i able to cancel my order?
1082,order number:7101532777order date:10/06/2017 at 07:51 pm pdtclick here to review your order status
2024,what are your hours for today?
161,can i cancel my order even after the shipping?
992,help me find out where my order is right now
1552,can i show my in the air force?
227,what are the details of you cancellation policy?
1227,how do i find leather shoes?
560,can modifications be made at this stage?
1605,how much do people who bought this product like it?
820,get me updated with status of my motog.
2109,"how strange you people are? you don't seem to have any definite opening and closing times. i came thrice in the last ten days and found you closed. how am i to know when you are open unless you have fixed and definite timings. now, tell me your definite and correct timings."
837,hi i'm waiting on a phone exchange can you please tell me when it arrives
1024,how can i find out my order status?
1194,can you show me bras?
1440,is there any way to determine the actual date that theyll be available in store?
1027,how will i know whether my order has been shipped?
1712,i ordered my phone with my home address for delivery but now i realise i wont be available there
389,when can i expect my order to be shipped?? it states that it is still pending
2050,what are your operating hours?
1697,can i receive my order at my work address instead of my home address?
429,why hasnt my order shipped?
347,my order is confirmed but not yet shipped.
1993,what are your hours of operation?
1097,when will my order be here?
921,need to know delivery date
407,i placed my order on january 3rd
968,so where is the phone i ordered?
2184,what are the hours of your atlanta stores?
1332,your local website ran out of the iphone6
2083,what time does your store open in the morning?
1661,i would like to change the address you have on file for me for delivery.
2204,what time does your store open on mornings?
258,could you please explain to me how i can cancel my order?
165,can i cancel yesterdays order?
468,mary - representative employee 286993 has informed me that i will be receiving a new phone within 24-48 hours and i want to make sure that this information is correct. this is going on two weeks of dealing with this issue
723,remove shorts.
1415,i want to see skirts
1786,do you offer same day delivery?
839,do you have an estimate on when my order will arrive?
2080,when does the store close today?
2219,when are you closing today?
1476,want to order gear s3? is it available any location in va beach?
1606,how to bought this dress reviewed my carts?
1801,can you help me compare your delivery and shipping plans?
647,today i ordered 10 boxes but i need to order 15 boxes can you change that order please
772,i want to remove the shorts from my cart.
1696,is it possible to make shipping address changes after the order has been placed already?
350,ive not received an order made a month ago.
1361,can i show to sneakers?
1077,its the iwatch shipping this week? or delivering this week
1481,can you see if there are any phones available in the few local stores near me?
1232,how many watches you have?
538,customize my order
1020,i placed an order for a phone but it hasnt been processed as your inventory stock is low. when can i expect this order?
184,can you cancel my previous order that i place because i require a different item?
1608,i'm looking at dress a and i'm worried that it might be too small. do reviews of the dress suggest that it fits true to size?
788,when will my order come?
1770,hey i ordered a phone and it is going to be shipped to the wrong address
409,i placed an order last week and id like to know why it hasnt gone through yet?
875,i never received order #000. can you please send me the tracking details?
1827,i would love to know about your delivery and shipping options.
405,whats the matter with your shipping
73,i need to cancel this order as i no longer want the item.
2229,can you tell me your store hours?
895,my package delivery status?
2217,what are the hours of your store in baltimore?
1072,i would like to check the status of my order.
867,is my order lost or its still on the transit?
488,im still waiting for my order; could you update me on the status?
1549,can i see reviews?
593,i was wondering if i could make a change to my order.
1727,since i didn't send the order you will need to contact ups to give them the complete shipping address.
721,remove item cart
270,can you let me know how i can cancel my order?
199,there is an order i placed 7 days back
1458,can you let me know if i can buy this phone at your stores?
1906,nearest store in 11413
247,how long is the refund to be deposited in my credit card after cancellation?
566,are there any customization options on the order i just placed?
1271,is this phone currently available
926,i ordered the package on monday. when will it arrive?
917,delivery date for package?
1423,formal dresses
654,is it possible to modify an order once its placed?
1255,"i want to see some bracelets, particularly charm of tennis bracelets."
1979,"i'm trying to nail down the schedule of your stores, being the executive, i'm assuming you can help me there."
1042,hello? i would like to know the status of my order?
1803,i need this item like today
269,the phone ive ordered is on backorder. i do not want to wait for it. how can i cancel the order?
31,is there a cooling off period when i order?
303,checking status of delayed order
1183,can i see your watch?
1635,top reviews
2182,how late can i come and shop?
1108,looking to get a status update on an order placed awhile ago.
1638,i want to know what other people think about this item have you gotten much feedback
56,when can i expect a refund on my cancelled order?
508,may i know what happen to my order why it takes so long?
1443,do you know when it will restock online?
1708,i already processed my order but need to change the address can you help me with that ?
2199,what are the store hours for the week?
1683,can my order be shipped to delhi instead to bombay
43,what are my rights regarding cancellation? is there a cooling off period for my order?
2175,when are you open for business?
58,i just added to my plan online however i added the wrong service how do i cancel it before i am charged?
2141,how late is the la store open today?
988,what is the status of my 2 new phone that i order last week?
333,i have been trying to see whats going on with my order. can you tell me if its on its way? or if its still being processed?
818,find my order
1992,what time does your store close on weekdays?
372,i have placed an order and it has not been processed as of now. i am inquiring to when your inventory will be refreshed? also i would like to know when my order should deliver?
1543,ok and also when does the iphone x come out
111,i got a good deal price somewhere else.so i want to cancel it.do it for me.
1771,i have placed an order for a apple watch that has not been shipped yet is there away i can change thee address
725,remove the nike run from my cart
587,modify my order
1444,can you also find out which store has the iphone 8 gold in the 256gb
2052,where can i find a stores hours of operation?
1517,when will your inventory be replenished?
1152,"hi, i just wanted to ask how i can track my device order?"
33,so i can cancel anytime?
1968,where are your stores?
104,i need to cancel my purchase
644,can i modify the features to may specifications.
1001,what is the easiest way to track the status of my order?
493,i placed an order with you for a phone and it says it has been received but it hasnt shipped yet?
158,is there an option for cancelling an order?
1709,just realized ill be out of town when my order is delivered. can i have it shipped to my hotel instead?
962,and when do you estimate i will receive that delivery
422,can you please explain to me why my order was delayed an why it takes this long for me to wait without proper notice?
1274,"my friend suggest to see the bottoms on your shop which i good and nice quality,can you please show me the bottoms with trendy one."
415,give me an explanation for why my order is so late please. if you cant do that
2001,when is your store going to be open tomorrow?
1749,what is your policy on the change of address on a product?
28,the payment already went through and i need it cancelled please
1195,can you show me sneakers?
242,whats the procedure to stop an order?
1469,will you get back stock soon?
1500,when will this product be in stock again?
24,i want to cancel my purchases
2177,what time does your shop open?
78,i made an order and i would like to cancel it please.
91,what is the policy for canceling an order?
907,when will i be able to get my phone?
139,if i made a mistake on my order can i cancel it?
650,i just placed my order but can i still add a monogram?
328,can you tell me where it is? its been 10 days
229,what is the cancellation policy on your phones?
1381,i'd like to place that order for an apple watch please
1063,i placed an order for the iphone 8 plus 256gb but i haven't heard from you. any idea how it take to get this device?? my # 951-317-3961
251,i seem to have made ordered the wrong smartphone
1078,just checking the status we did it as next day i just wanted to when should we expect a tracking number or an update on when it should arrive?
2138,how late do you stay open?
354,i ordered an phone 2 weeks ago and still waiting
1153,"hi, i was wondering the status of my order"
2174,what are your hours operation?
2051,when does the nike store usually open?
957,i need to know how soon i will get this. when will it be delivered and how will you ship it?
2151,will your cleveland store be open at 8am today?
2228,what is the earliest customers can come in to shop?
105,i want to cancel my order for certain reasons
1191,"can you help me find a new pair of leather shoes that i can wear to work, especially dark brown color?"
2094,what time is your store opening in the morning?
896,did my order process?
908,i need to know when my items will be delivered. i never received confirmation on my delivery.
2218,do you have any pantene silver? i am near baltimore. what time does your store open in the morning?
1519,when do you think this phone will be released?
2209,will you be open at 8 am tomorrow?
1282,see bracelets?
609,is it too late for me to change my order?
113,just want to make sure to cancel the right one
854,can you please really take 5 min and help me to know my order status or should i just cancel it?
796,when will i get my order?
420,why is my order taking so long as it should have been here by now?
2189,store available on weekends? on same regular full hours?
1365,do you carry platform shoes and how can i find them?
2136,when do you guys open?
100,order cancellation steps?
1618,belt customer reviews
2145,what are your store hours for the week?
2058,"if i arrived at your downtown los angeles location at 9:00 am, would the store be open?"
70,"no, id like to cancel the order completely."
189,do you charge a restocking fee for order cancellations?
775,would you please update my cart?
1390,show me shoes.
1252,i want to have watches?
1114,can you tell me where is my order right now.? i will pick up it from there
1171,branded t-shirts is available
701,how to remove?
1595,would you can reviews of the air force 1.?
445,hi! yesterday i placed an order for an apple watch series 3. i was told it will ship at the end of next month. i looked today and it now says it will ship 10/13-10/16. i&rsquo;m just curious as to what the correct date of shipment is
1468,i tried to order this item but it has been flagged as on backorder. do you know when it will be available?
2056,i want to know if the shop will be open at 8.
1926,can i get location store?
1202,can you show the sneakers which you have?
623,after thinking it over
172,are you able to check if my order has been processed already
759,what are my options to customize my order
655,can i change my order
1769,how do i change the quantity of an item i ordered earlier today?
25,i have changed my mind and want to cancel my plan
945,when will receive it
1379,i would like to search for dresses to look at.
424,why the hell my order status is still in transit
1776,is it possible to receive the order today if i just place the order?
1995,will y'all be open by 9 am?
532,change order please
771,"i have changed my mind about the button-down shirt, can you please take it out of my cart?"
597,i accidentally ordered rinsed jeans instead of faded jeans. can i switch my order or is it too late?
1748,my order needs to be sent to my work address instead of my home.
1400,"may i see your sneakers? and, do you also carry watches? i'm also interested in seeing your latest bags, please"
1783,i am curious about the different delivery and shipping plans that you offer. can you help me compare the benefits of each one?
898,im calling again about my order.
583,i just realized i ordered the wrong thing and id like to correct that.
1206,display plus size pants.
1026,how will i know my order has moved from on transit status to collection status?
656,can i swap out my order for a different size?
823,please send me another update on my order
1151,"hi, i had a question about that status on a device."
959,on what day is my order supposed to arrive?
2062,what's your hours of operation?
1507,i want to know when it comes out or is it out?
1061,"i ordered one, but it's showing still as 11/8-11/22 ship date. my order number is 5170781237. are you able to see a more accurate time of when it would ship? also, i don't suppose you'd want to waive the shipping cost for me, eh? :-/"
80,can you tell me about your order cancellation policy?
297,my order has been processed
509,do you know how long more ? because i need to get off my phone soon
565,i need more cat food than i initially ordered. can i change the quantity?
1141,how many days before i get my cell phone?
1541,how can i track the available status of your devices?
667,i want to make a few changes to the order i placed.
1808,is that possible if i place an order this morning?
385,im frustrated. havent received my order yet. when will it come
2003,what are your operation hours?
2211,is there a way i can find your store operating hours?
1584,what are the general reviews of this size 10 sneaker?
1433,please check availability
1640,display bad reviews
1850,please give me the details of the delivery plans you have.
2134,what are your hours on the weekend?
306,i ordered my item last week and it still hasnt been processed. do you know when it will be available?
291,what happens if i want to cancel my order?
1316,which dress do you have so that we can buy another model or type or material for next session
1645,i would like to know what others think about the shoes
1704,i entered an old address by mistake. can i have my order shipped to my new address please?
2097,are you open seven days a week?
1781,i need to know the delivery and shipping options?
40,could you tell me the procedure for cancelling my order after its already been shipped?
1133,i want to be home when this order is delivered because weve had problems with packages being stolen so can you please tell me what day it is supposed to get here?
1907,"i live in new york, 11413, any store near me"
1018,i need the shipping details of my order.
497,my order is in pending state what are the shipping updates?
441,hi i orders a samsungs gear 3 watch and haven't got any update on shipping or when it till arrive
1366,do you have ties?
1289,show me your newest tops
1829,what is the best date of delivery?
1334,is there a similar model of the phone that i want to order that may be in stock?
2187,what is your working hours?
1323,slim fit pants
174,if i want a to cancel my order
1205,did you enjoy the selections of products?
418,i see my order has not shipped. why is that?
1067,i wanted to know status of my order
1576,please send me the link for all of the reviews for these pants.
16,"yes please cancel the order, i already have my iphone se that my caregiver picked up today from the tmobile store near by"
1617,does this belt have any customer reviews
1215,do you have watches
599,i ordered the wrong size
1536,how can i obtain an item that is not in stock?
846,i am seeing that my order has bee processed
2009,when do you close at night?
1380,i would really hard to find the better quality of dresses but finally i will take the correct one
1754,my son just brought home 3 more cats and i am going to need more food than i ordered. can i change the quantity of my order or do i need to place a second one?
434,can you tell me if the order was processed?
1210,do you have athletic footwear?
636,is there any way you can help me change some of the option of my most recent order?
2181,are you open every single day?
373,while my order status says pending
2113,what is the earliest time i can visit your store by morning?
1155,hi. can you check on a order status?
495,i should have gotten my order by now. where is it?
1048,"hi, i placed an order and i want to know the status of the order but i don&rsquo;t know the order number"
1146,can i track my sons phone?
1284,show me bottoms
1131,i noticed my order has not been processed. when will i get the phone i ordered?
548,i accidentally ordered the wrong color backpack. since it has not been processed yet can i change to color?
308,my order has been delayed
1571,is this product popular?
205,if i cancel my order now will i be able to get a full refund of my money?
1057,"i have upgraded to a new iphone 8 last week, and wanted to track my new phone - however t-mobile page does not show my order, nor did i receive an email with a tracking number."
1351,anything possible to show your sneakers?
403,i need to know what is happening with my order as i havent received it yet.
14,were you able to cancel the order from today?
2044,how late are you guys open on fridays?
1872,can you give me the delivery options you offer and the price of those options?
286,can you explain why i got charged for an order that was cancelled?
1105,order date needed
1865,tell me what delivery plans you have.
1782,show me delivery and shipping plans
530,i have already placed an order and would like to alter it
1921,nearest store location to me
2232,how much longer are you guys planning on being open today?
733,updation of my cart
1806,is there any way for me to order something and have it delivered today?
1569,i'm interested in new leather dress shoes; can i see some reviews?
1426,check for the phone i need
1700,can i have my order sent to a different address?
1852,how is it being shipped?
1545,"before i buy this watch, i want to know what other customers have said about it. i need to make sure it will be reliable. is there a customer feedback section on the website?"
1905,do you have a store in 11413
582,i want to change number of quantities of order as i did it by mistake.
1698,can i receive my order at another address?
2222,what time do you close in the evenings?
681,add my cart?
997,i just placed an order for a new phone. how soon can i track my order?
598,what are my options for custom orders?
930,what day will this order be delivered?
935,when can i expect delivery of my order?
1975,what time do your stores in houston open?
1578,products over 3 stars?
1038,can you show me how to view the status of the phone on my account
1685,just want to deliver my processed order to my another address. is it possible ?
523,i need to change my order items
2004,are you open during christmas?
1526,how long will i have to wait for this phone to be in stock?
607,i need to modify my order
1815,i need super fast same day shipping on this
1427,is it available?
1916,store in location?
400,my order was due yesterday. where is it?
822,i want to see the status of my order at your company.
761,i dont want the plain stock version
1278,please show me the most recently acquired tops in your inventory
132,please tell me the company cancellation and refund rules.
13,please cancel order # s036045229
99,so i want to know the cancellation cost
1554,can you show the reviews of mens clothes
2005,what are your store hours for saturday?
2028,what time does the los angeles store open?
1168,any new trends on bags
1525,how long will it take to get the phone in stock/
180,the gift i ordered yesterday is something my niece already has. can i cancel the order?
148,is there any restriction in cancellation of an order?
2127,what time should i get to the store to be first in line?
1257,i want to see your handbags.
1493,when will the apple watch sport be available at the stores?
678,i have placed an order and i would like to change it. how can this be done?
1364,can you show me your jeans?
411,i dont understand why my order is still processing?
1857,how to place the order to get the same day delivery
546,are there any other customization options available for this item?
2039,when do you guys open today?
459,i pre-ordered the phone on oct 4 and the phone shipped from google today.
1497,when will my order be available?
1677,can i change the destination of delivery for my item?
1314,where are your womens sandals?
739,need to change order
830,i want to know my orders delivery date. could you tell me
2224,are you open later on sundays?
52,what is your cancellation policy on this package?
1826,i would like more information about your deliver and shipping options and rates
1462,is there a way to check my local stores for stock of the phone that is no longer available online?
1154,"hi, sorry. very quick question. i saw my status order said ready for ups today. will it be arrived by tomorrow? because i&rsquo;m leaving the day after tomorrow."
2215,what is the earliest and latest time to shop at your store?
2104,what are your holiday hours?
1236,i absolutely show my t-shirts?
293,what happens if i need to cancel my order? do i get a full refund?
1276,please explain about your latest model watch?
1325,ok do you have iphone se
325,do you know when my order will be out of pending statues and shipped?
1627,hat customer reviews
1136,what happened to my order?
103,cancel my samsung galaxy order
1765,i chose the wrong size when i placed my order. can i still make changes?
1544,are these jeans well reviewed by customers?
1301,what are all dress models u have for mens ?
470,please advise the status of my exchange phone. the order was put in at the store on saturday. i received confirmation that it was shipped saturday but no status stating its ready for pick up
1828,im interested in placing an order but would like to know the delivery and shipping plans first.
1496,when will you have more items in stock?
1128,when is the delivery date of my order placed with your company?
1293,show to sneakers?
96,what do i need to do to cancel my order?
1124,i need to know when you plan on delivering my phone as i dont work by my home and i do not want my phone stolen could you please tell me when to expect delivery?
1411,women's winter coats
1639,show me only the bad reviews of this jacket
1127,i need to know the exact date my order will be delivered to me.
911,ive waited over two weeks for my device. whats the status?
758,how can changes be done now?
676,i ordered the wrong size
374,i have called twice and this is my third email which is ridiculous when all i want to know is where my order is since it was supposed to be here three days ago and im tired of getting no response!
886,can you tell me if my phone was shipped
1910,can i see the store?
1795,is it possible to change the delivery option once i have completed ordering?
2221,when are your stores open in ohio?
2173,can you tell me your open and close times for today?
343,status of my phone is not showing up
563,can i modify the features to may specifications.
763,can you take that out?
527,can i make changes to my current order?
1599,are there any customer reviews for this watch?
1471,my local store and the website ran out of the item i want ⊔ is there another way to get it?
2040,what are you hours of operation?
1573,nike hi tops good or bad
127,i placed an order and need to request a cancellation
1126,what is the estimated arrival date?
1901,"i live in florida, can you tell me the location of your store there?"
462,i was told i can check the status of shipment of a phone on the t-mobile app and i wanted to know where to check it because i haven't had any updates sent to me as of now
692,how change the pair of the socks in my cort ?
1207,do you have any bomber jackets?
461,i thought the phone would have shipped by now and the website won't show me the status
1118,i chose express shipping and my package is still not here
1737,is it too late to change the address for my last purchase?
1261,i would like to see all of your womens t-shirts. where do i go?
562,i ordered the wrong color
872,will i receive it now?
1085,pls i am messaging to know the status of my order
1290,show my sneakers?
202,are there penalties for canceling?
1286,show me jeans
456,"i placed an order for an lg v30 last friday in my local store. when checking order status, it still does not show any information. trying to get an update on my order"
900,i have contacted you several times to know what the status of my order. i have not received a clear answer and i would like the tracking information.
741,make changes to my order
1117,ok very cool id like to do that now. how long will it take for that watch to get to me
1861,i want to know information about my plan.
217,i am in no mood to receive my order
807,i would like to confirm the delivery date of my order.
795,when i can expect to receive my order?
1790,is there an option i can choose in your shipping and handling section to receive my package today?
816,i didnt get a notification and would like to check my order status.
412,can you give me one good reason why my package has not arrived as agreed?
1506,how soon until my order become available?
1150,do you guys have an updated ship date i know it&rsquo;s been on back order for a while
302,i just checked my order status and saw that its still pending
382,whats the holdup with my order?
833,is there tracking information available for my last order?
1592,what review comes from customer?
1485,ok great. one more question. are iphone 8 devices available in stores now?
906,when can my purchase be expected?
318,hi! i ordered from you about 15 days ago and still havent received my order
2157,what time do you open your store?
1367,"hello, is like to place an order for $6 lte signal booster."
683,can i add my in cart?
1037,can you check the financial status of a phone
1675,is it possible that i can change the delivery address for my order?
855,i am trying to check the status of my order that has been delayed and am frustrated
2006,is there any day of the week that the store is closed?
101,i dont want this order anymore
1107,please notify me status
2220,when do you open tomorrow morning?
561,could i make changes to my order? i need to change the size.
2133,what time do y'all close tonight?
1374,"i like t-shirts very much,can you show me ?"
473,so ship me the item!
119,i wish to cancel my order.
130,so thank you for offering but at this time we just want to cancel
1422,i need a formal dress
1022,how can i check on my orders delivery status
150,do you allow order cancelation?
1684,can this be delivered somewhere else?
1396,where are the dresses?
1340,do you have any suggestions as to what i should do since the item is showing out of stock?
433,but verify 1st that the order yesterday went out
617,alter my order
1908,"i live in new york 11413, what's the nearest store to me"
427,why does order status still say attempted delivery
1066,i want to check the status of the order i placed for the iphone 8 + 64gb
1846,what kinds of shipping prices and options do you offer?
1098,when will my order arrive?
145,is there a cancellation fee?
724,remove the dress
155,is there any charges to cancel an order
18,if i cancel an order
42,can i get more information about your cancellation policy?
2066,is your store open on sundays?
1656,what are your options for changing the delivery address?
880,could you please update me again on my order status?
114,i need to cancel the order i just placed
1112,do you have a delivery date for my order from tuesday morning?
436,"hello , unfortunately i don&rsquo;t have access to see the status of my order , can you tell me if my apple watches arrive at the store"
1043,hey i was just wondering will y'all alert me when my package is almost arriving
1346,when is the predicted date for the order to be filled.
1491,i want to purchase the pre-owned 7 plus
330,once the order has processed can you tell me how long for it to ship
524,i need to change my order.
1110,can you tell me when i will be getting my order
542,i need to change an order i made.
515,i have been to the store like 3 times and everytime they say it should have reached by now but they are not cooperating with updating the order number that this has been received
1208,"do you have any large, brown leather tote bags with shoulder straps?"
1145,and may you update it so my order can continue to get processed
323,i have been waiting on my order for an unreasonable amount of time
1079,no way to check the status? i was just curious
1633,i would like to know how other customers have reviewed these pants in the past
1632,pants customer reviews
1585,what are the reviews like?
1914,which one of store in newyork?
1939,"i'm in los angeles right now. do you have any store locations there? if so, where is the store located?"
1260,i would like a hermes scarve that i can wear to the office and out to dinner.
865,i need the order by next friday
1241,"i like t-shirts very much, can you ready to show your t-shirt?"
1245,"i like to buy watch from my friend ,can you please tell me whether do you have watches."
1854,what are shipping method
284,i cant figure out how to cancel my order.
2122,what days of the week is your new york stores open?
395,where did you send my phone?
137,is there penalty for cancelled order?
601,what are my options to customize my order
2018,are you open on sundays?
535,i want to amend my order
630,can i change the color?
595,i just placed an order but would like to add a custom feature.
1981,what time do you close?
1119,delivery arrival time?
267,i must cancel the order i placed recently
1174,can i get the iphone 8?
2088,what are your store's weekend hours?
2008,how long are you open for today?
20,what is your order cancellation policy?
356,i ordered something a while back and its still isnt here
584,i was hoping to change the color of the item i just ordered
1237,i cannot find the women's sandals on your site? can you give me a link?
1449,are galaxy note 8 available in stores?
1524,how soon till the availabilty of the items?
1800,can you please tell me about your delivery and shipping plans?
559,can i customize my order before its shipped?
769,how to update my cart
970,how long does it take an order to change from packing to shipping status
1862,what will be the unlimited plan?
1442,do you know when the phone will be available for me to order online?
573,after placing my order
1741,can i change the shipping address to the order i just made?
631,i want to change color is that permissable?
540,i would like to only get one of them now.
1000,i want my order today.can you tell where it is right now?
2060,when will your store open?
467,just would like to know if my order shipped because i was charged on my card but i don&rsquo;t see an email
1315,whether do you have new arrival of dresses any any new trends of ethic wears
122,please cancel my last order since it didnt arrive in time for the event i needed it for.
864,i still havent received my device; can you help me with the status?
1904,"i'm looking for a store in miami, do you have a location there?"
1796,if i complete my order by noon is it possible to receive it by end of business today?
431,can you find out why my confirmed phone order from last monday has not shipped as promised?
149,is your cancellation policy on your website?
1755,can i add extra product to the same order?
588,i ordered two but actually needed three instead.
1424,"my prom is coming up and i'm looking for a new formal dress, what do you have for formal"
220,how much charges will i have pay if i cancel my order?
249,what is the contact information to process an order cancellation?
47,is there a fee associated with the cancelled order
1272,is this shoes available in size 10
1437,what colors r available for samsung galaxy s8
446,i can not track my order because it has a letter in it. the. track says it does not exist.
1972,where is the store located?
1111,do you have a sense of when the phone will ship?
1952,how many stores do you have in dc?
1990,what are the hours for your seattle stores?
1837,how much does it cost to have something delivered
1681,is there a way to change the shipping address
1177,can i order the watch with u?
2185,how early do your stores open?
713,i want to add two more shirts to my cart.
2125,how late do you stay open on saturday evenings?
1092,when is my order going to ship? it's been processing for over 24 hours now.
1007,how late in the day will a same-day order be delivered
207,if i cancel my purchase
2143,are all the stores open on sundays?
892,my delivery hasnt come yet.
1634,show me top rated reviews for this product
1081,ok. got it. what is the estimated shipping date for the watch?
798,when will i receive my order
983,what is the status of my phone
628,i would like to alter the order i placed this morning
651,i just placed an order
1389,show me more models for mens
943,im going out of town soon so id like to know when to expect my delivery.
1350,also will i be able to call in and order the iphone x on the 27th
1023,how can i check the status of my expedited shipment
2178,what time does your shop close?
956,whats the date that my order will be delivered?
1813,do you ship phones internationally?
1920,what is the closest big store to me?
1432,i want to see the rest of the models and tablets available
1053,how do i track a phone?
1885,i would like information on your delivery and shipping options
1987,what are your weekly store hours?
2070,what are the hours of your stores?
1628,will you please show me the reviews customers have written for this hat
1336,the iphone7 is showing out of stock
232,what are conditions or situations allowable for cancelling an order?
2164,when can i visit the store?
248,i would like to cancel my order; when will i get my money back?
387,im really concerned about the status of my order
1039,can you track my phone?
1918,the store in san francisco
1652,can i still change my shipping address ?
414,why is my order so late in getting to me?
380,how is my order pending for so long?
704,"i don't need it anymore, so please remove the nike run from my cart"
1509,when will my item be in stock so my order can come to me?
1434,i want a phone u cant wait tell march
1259,i will like to place an order for iphone 8 plus
1405,show me shoes
135,will i get my full amount?/how much charges will i have pay if i cancel my order?
1212,do you have dresses?
1363,can you show me all the types of women's shoes in a size 7
685,can you remove this item from this cart?
218,i cancelled an order
1577,point me to the reviews for this.
1646,what do others think about the shoes
1503,hello when will the iphone x be available in t-mobile stores?
591,i just placed an order and i would like to modify that order rather than cancel the order
1641,i want to read the negative opinions so show me the bad reviews of this jacket
110,my son found the items in this order locally at a lower price so i would like to cancel this order.
1160,i ordered my phone on sunday the 8th and i have yet not received a status on it
1738,will you be able to help me correct the address my most recent package will be delivered to?
526,is it too late for me to change my order?
1551,can i show me the air force?
1466,do you know if the iphone7 will be coming back in
1688,i am afraid i have moved and forgot to change my address
1802,can i have it delivered today.
147,can you help me with the cancellation of my order?
632,can i change my color selection?
1065,i submittted an order to upgrade one of my phones online just now but it says there was an error. can you check to see if there's been an order placed today for a new phone on the account 417 763 7858 number?
1031,and the order? when is it shipping?
1971,"not able to see your store on google map, can you manually tell the location of your store in new jersy."
88,what is your order cancellation policy at this company?
1823,get me the details of delivery plans you have.
